                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.145,                0.78218,                 1.3877,                0.85884,                0.92874,                0.95633,                0.64577,                 1.1014,                0.75163,                  1.401,             0.00088002,             0.00088002,             0.00088002
                     66,                 1.1369,                0.76327,                 1.3672,                0.93295,                0.85703,                0.94125,                 0.6265,                 1.1334,                0.75202,                 1.4142,             0.00087636,             0.00087636,             0.00087636
                     67,                 1.1434,                0.76386,                 1.3802,                0.92335,                0.87885,                0.94495,                0.66866,                 1.0764,                 0.6809,                 1.3901,             0.00087269,             0.00087269,             0.00087269
                     68,                 1.1147,                0.77838,                 1.3671,                0.89006,                 0.8828,                0.92892,                0.62164,                 1.1618,                0.74857,                 1.4236,             0.00086902,             0.00086902,             0.00086902
                     69,                 1.1441,                 0.7445,                  1.405,                0.84152,                0.93993,                0.95264,                0.64449,                  1.103,                0.71034,                 1.4142,             0.00086536,             0.00086536,             0.00086536
                     70,                 1.1178,                0.76644,                 1.3579,                0.89936,                0.86341,                0.91022,                0.58594,                 1.1778,                0.85396,                 1.4274,             0.00086169,             0.00086169,             0.00086169
                     71,                 1.1025,                0.74378,                 1.3508,                0.89259,                0.85304,                0.93194,                0.62274,                 1.1851,                0.71919,                 1.4623,             0.00085803,             0.00085803,             0.00085803
                     72,                 1.1034,                0.73865,                 1.3535,                0.88084,                 0.9065,                0.93373,                0.64523,                 1.0872,                0.68645,                 1.3821,             0.00085436,             0.00085436,             0.00085436
                     73,                 1.1414,                0.77906,                 1.3939,                0.86736,                0.94327,                0.95099,                0.63618,                 1.1891,                0.71664,                 1.4317,             0.00085069,             0.00085069,             0.00085069
                     74,                 1.1309,                0.72877,                 1.3703,                0.90874,                0.91523,                  0.953,                0.64286,                 1.1937,                 0.7009,                 1.4406,             0.00084703,             0.00084703,             0.00084703
                     75,                 1.0816,                0.72442,                 1.3402,                0.87271,                0.91667,                0.94435,                0.62103,                  1.211,                0.75294,                  1.439,             0.00084336,             0.00084336,             0.00084336
                     76,                 1.1063,                0.74275,                 1.3419,                0.87277,                0.90047,                0.91956,                0.62788,                 1.1539,                0.74861,                 1.4155,             0.00083969,             0.00083969,             0.00083969
                     77,                  1.162,                0.75873,                 1.3896,                0.81387,                0.93764,                0.94663,                 0.6398,                 1.1224,                0.73057,                 1.4068,             0.00083603,             0.00083603,             0.00083603
                     78,                 1.0765,                0.73149,                 1.3434,                0.90192,                0.92322,                0.95601,                0.64045,                 1.1929,                0.72386,                 1.4092,             0.00083236,             0.00083236,             0.00083236
                     79,                 1.1221,                0.73753,                 1.3556,                0.90455,                0.88125,                0.93559,                0.64859,                 1.1543,                0.69495,                 1.4096,             0.00082869,             0.00082869,             0.00082869
                     80,                 1.1148,                0.73563,                 1.3622,                0.86307,                0.87347,                0.92679,                0.58988,                 1.2298,                 0.8074,                 1.4484,             0.00082503,             0.00082503,             0.00082503
                     81,                 1.1029,                0.73752,                 1.3636,                0.90358,                0.91356,                0.96135,                0.65156,                 1.1105,                0.71118,                 1.4348,             0.00082136,             0.00082136,             0.00082136
                     82,                 1.0951,                0.71769,                  1.353,                0.88265,                0.86636,                0.93047,                0.62959,                 1.1597,                0.75971,                 1.4082,              0.0008177,              0.0008177,              0.0008177
                     83,                 1.0867,                0.70951,                 1.3611,                 0.8957,                0.88907,                0.94596,                0.64523,                  1.147,                0.72105,                 1.4022,             0.00081403,             0.00081403,             0.00081403
                     84,                 1.0729,                0.70658,                 1.3362,                0.88318,                0.93755,                0.95724,                0.64016,                 1.1069,                0.70428,                 1.3843,             0.00081036,             0.00081036,             0.00081036
                     85,                 1.0958,                0.73654,                  1.352,                0.90979,                0.89876,                0.94496,                0.64356,                 1.1423,                0.69033,                 1.3951,              0.0008067,              0.0008067,              0.0008067
                     86,                  1.092,                0.70098,                  1.325,                0.90715,                0.89671,                0.94194,                0.64185,                 1.1716,                   0.69,                 1.4152,             0.00080303,             0.00080303,             0.00080303
                     87,                 1.0672,                0.69306,                 1.3185,                0.92435,                0.91266,                0.96342,                0.65064,                 1.1091,                0.67206,                  1.396,             0.00079936,             0.00079936,             0.00079936
                     88,                 1.0646,                0.68819,                 1.3363,                0.91389,                 0.8562,                0.95279,                0.66135,                 1.0812,                0.70037,                 1.3593,              0.0007957,              0.0007957,              0.0007957
                     89,                 1.0711,                  0.687,                 1.3363,                  0.909,                0.93381,                0.97084,                0.65739,                 1.1296,                0.64492,                 1.3888,             0.00079203,             0.00079203,             0.00079203
                     90,                  1.066,                0.66776,                 1.3184,                0.93696,                0.87047,                0.95254,                0.65493,                 1.1066,                  0.689,                 1.3933,             0.00078837,             0.00078837,             0.00078837
                     91,                 1.0795,                0.68538,                 1.3507,                0.92541,                0.91372,                0.95033,                0.63924,                 1.1581,                0.68714,                 1.3899,              0.0007847,              0.0007847,              0.0007847
                     92,                 1.0696,                0.70137,                 1.3216,                0.91895,                0.88519,                0.94608,                0.64027,                 1.1116,                0.70036,                 1.3711,             0.00078103,             0.00078103,             0.00078103
                     93,                 1.0629,                0.67326,                 1.3297,                0.93157,                 0.8902,                0.96095,                0.65405,                 1.1421,                 0.6588,                 1.4245,             0.00077737,             0.00077737,             0.00077737
                     94,                 1.0795,                0.66781,                 1.3164,                0.93502,                0.89565,                0.95079,                0.66002,                 1.1287,                0.63786,                   1.37,              0.0007737,              0.0007737,              0.0007737
                     95,                 1.0583,                0.66961,                 1.3153,                0.92127,                0.88479,                0.94733,                0.63933,                   1.15,                 0.6736,                 1.3682,             0.00077003,             0.00077003,             0.00077003
                     96,                   1.05,                0.66933,                 1.3164,                0.90961,                0.93267,                0.95979,                0.67379,                 1.1126,                0.70907,                 1.3786,             0.00076637,             0.00076637,             0.00076637
                     97,                 1.0453,                0.65408,                 1.3144,                0.94582,                0.92519,                0.96877,                0.67835,                 1.0699,                0.63645,                 1.3698,              0.0007627,              0.0007627,              0.0007627
                     98,                 1.0386,                0.66383,                 1.3126,                0.91043,                0.96013,                0.97189,                0.66782,                 1.0869,                0.63052,                 1.3259,             0.00075904,             0.00075904,             0.00075904
                     99,                 1.0418,                0.64506,                 1.3086,                0.91801,                0.90334,                0.95159,                0.66645,                 1.0938,                0.65103,                 1.3659,             0.00075537,             0.00075537,             0.00075537
                    100,                 1.0078,                0.63976,                  1.279,                0.93627,                0.90663,                0.96161,                 0.6622,                 1.1482,                 0.6439,                 1.4053,              0.0007517,              0.0007517,              0.0007517
                    101,                 1.0766,                0.70147,                 1.3499,                0.91315,                0.92504,                0.95744,                0.64002,                 1.2044,                0.68883,                 1.4302,             0.00074804,             0.00074804,             0.00074804
                    102,                 1.0383,                0.64601,                 1.3331,                0.90161,                0.94266,                0.95949,                0.68052,                  1.078,                0.62909,                 1.3817,             0.00074437,             0.00074437,             0.00074437
                    103,                 1.0388,                0.63322,                 1.2942,                 0.8976,                0.85191,                 0.9258,                0.61341,                 1.1951,                0.77056,                 1.4345,              0.0007407,              0.0007407,              0.0007407
                    104,                 1.0607,                0.65027,                  1.313,                0.89387,                0.91186,                0.92924,                0.63453,                 1.1015,                0.68995,                 1.3811,             0.00073704,             0.00073704,             0.00073704
